city_name,lat,lon,population
Warsaw,52.2297,21.0122,1790658
Kraków,50.0647,19.945,779966
Łódź,51.7592,19.456,679941
Wrocław,51.1079,17.0385,643782
Poznań,52.4064,16.9252,540372
Gdańsk,54.352,18.6466,470907
Szczecin,53.4285,14.5528,401907
Bydgoszcz,53.1235,18.0084,339053
Lublin,51.2465,22.5684,338586
Białystok,53.1325,23.1688,297554
Katowice,50.2649,19.0238,292774
Częstochowa,50.7964,19.12,217530
Kielce,50.8661,20.6286,194852
Gliwice,50.2945,18.6714,179806
Olsztyn,53.7784,20.4801,171249
Bielsko-Biała,49.8225,19.044,170663
Rzeszów,50.0412,21.9991,196821
Rybnik,50.0971,18.5463,138696
Suwałki,54.1116,22.9309,69827
Zielona Góra,51.9356,15.5062,140403
Kalisz,51.7608,18.0909,101768
